name,price,package_size,serving_size,calories_per_serving,calculated_calories,serves_about,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
3 Seed Beet Crackers,$1.99,6.5 Oz,30 g,150.0,152.0,6,8 g,1.0 g,0 g,0 mg,50 mg,18 g,0 g,1 g,0 g,2 g,0 mcg,10 mg,0.8 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Extra Hot Habanero Ghost Pepper Salsa,$3.49,12 Oz,30 g,10.0,8.0,11,0 g,0 g,0 g,0 mg,150 mg,2 g,0 g,1 g,0 g,0 g,0 mcg,10 mg,0.2 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Gluten Free Cheese Pizza With A Cauliflower Crust,$5.49,12 Oz,113 g,760.0,260.0,3,12 g,7 g,0 g,35 mg,490 mg,24 g,3 g,3 g,0 g,14 g,0.2 mcg,280 mg,1.1 mg,340 mg,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Protein Granola,$3.99,12 Oz,60 g,260.0,268.0,6,12 g,2 g,0 g,0 mg,160 mg,29 g,3 g,9 g,8 g,11 g,0 mcg,40 mg,1.6 mg,340 mg,2.5 g,4.5 g,,,,,,,,,,,,,,,,,,,
Gluten Free Norwegian Crispbread,$4.29,7.55 Oz,24 g,130.0,133.0,9,9 g,1.0 g,0 g,0 mg,170 mg,9 g,3 g,1 g,1g,4 g,0 mcg,30 mg,1.4 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Soy Chorizo,$2.99,12 Oz,56 g/ about,130.0,127.0,6,7 g,1 g,0 g,0 mg,660 mg,8 g,5 g,1 g,0 g,8 g,,,,,,,,,,,,,,,,,,,,,,,,,
Bolognese Style Tomato & Beef Pasta Sauce,$4.49,24 Oz,125 g,70.0,76.0,,4.0 g,1.0 g,0 g,10 mg,500 mg,6 g,1 g,3 g,0 g,4 g,0 mcg,20 mg,1.1 mg,320 mg,,,,,,,,,,,,,,,,,,,,,
Organic Unbleached All-Purpose Flour,$4.99,5 Lb,30 g,110.0,104.0,,0 g,0 g,0 g,0 mg,0 mg,23 g,1 g,0 g,0 g,3 g,0 mcg,0 mg,0.4 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Grated Parmesan Cheese,$2.99,8 Oz,5 g,25.0,21.5,,1.5 g,1.0 g,0 g,5 mg,85 mg,0 g,0 g,0 g,0 g,2 g,0.0 mcg,60 mg,0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Organic 92% Dark Chocolate Bar,$1.49,2.64 Oz,25 g,480.0,161.0,3,13 g,8 g,0 g,0 mg,0 mg,8 g,0 g,2 g,5 g,3 g,0 mcg,30 mg,2.0 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Organic Sea Salt & Nibs 63% Dark Chocolate Bar,$1.49,2.64 Oz,25 g,440.0,146.0,3,10 g,6 g,0 g,0 mg,30 mg,12 g,1 g,8 g,8 g,2 g,0 mcg,20 mg,1.1 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Amped-Up Almonds,$0.01,2.5 Oz,71 g,380.0,417.0,,29 g,10 g,0 g,0 mg,120 mg,23 g,6 g,14 g,12 g,16 g,0 mcg,100 mg,6.7 mg,450 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Covered Wafer Cookie with Peanut Butter Filling,$0.99,2.33 Oz,66 g,350.0,352.0,1,20 g,9 g,0 g,5 mg,180 mg,37 g,1 g,17 g,17 g,6 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Creamy Salted Almond Butter,$3.99,12 Oz,32 g,190.0,209.0,,17 g,1.5 g,0 g,0 mg,100 mg,7 g,3 g,2 g,0 g,7 g,0 mcg,90 mg,1.2 mg,230 mg,4.0 g,11 g,,,,,,,,,,,,,,,,,,,
Carne Asada Burritos,$5.49,14 Oz,198 g,990.0,479.0,2,19 g,5 g,0 g,50 mg,880 mg,55 g,3 g,2 g,0 g,22 g,0 mcg,100 mg,2.9 mg,360 mg,,,,,,,,,,,,,,,,,,,,,
