name,price,package_size,serving_size,calories_per_serving,calculated_calories,serves_about,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Organic Tart Cherry Fruit Spread,$4.29,15 Oz,18 g,25.0,24.0,24,0 g,0 g,0 g,0 mg,5 mg,6 g,0 g,6 g,6 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg,,,,,,,,,,,,,,,,,,,,,
Mango Mochi,$4.99,6.8 Oz,192 g,440.0,78.0,1,2.0 g,1.0 g,0 g,5 mg,10 mg,14 g,0 g,9 g,5 g,1 g,0.1 mcg,10 mg,0.0 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Lemon Ginger Cheesecake,$3.99,30 Oz,142 g,420.0,426.0,6,22 g,13 g,0 g,70 mg,230 mg,52 g,1 g,34 g,31 g,5 g,0.2 mcg,70 mg,2.7 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Everything but the Bagel Cheddar Cheese,$4.99,8 Oz,28 g,120.0,122.0,8,10 g,5 g,0 g,30 mg,290 mg,1 g,0 g,0 g,0 g,7 g,0.2 mcg,200 mg,0.1 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Passion Fruit Granola,$3.99,12 Oz,56 g,100.0,98.5,6,2.5 g,0 g,0 g,0 mg,15 mg,17 g,2 g,6 g,12 g,2 g,0.0 mcg,10 mg,0.6 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Strawberry Yogurt Flavored Coated Almonds,$3.99,8 Oz,30 g,180.0,181.0,8,13 g,4.5 g,0 g,0 mg,15 mg,12 g,2 g,9 g,7 g,4 g,0.0 mcg,60 mg,0.6 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Super Strawberry Sorbet,$3.99,16 Fl Oz,146 g,410.0,152.0,2.5,0 g,0 g,0 g,0 mg,80 mg,37 g,1 g,31 g,25 g,1 g,0.0 mcg,10 mg,0.4 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Danish Princess Pastry,$2.99,12 Oz,113 g,1320.0,434.0,3,26 g,11 g,0 g,5 mg,230 mg,46 g,2 g,21 g,15 g,4 g,0.0 mcg,110 mg,0.0 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Beef Rib Eye Steak,$14.99,1 Lb,112 g,270.0,273.0,,21g,9g,1g,80mg,60mg,0g,0g,0g,,21g,,,,260mg,,,,,,,,,,,,,,,,,,,,,
Lemon Herb Macaroni Salad,$3.99,12 Oz,136 g,630.0,251.0,2.5,15 g,2.0 g,0 g,15 mg,830 mg,24 g,2 g,3 g,1 g,5 g,0.1 mcg,50 mg,1.4 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Vidalia Onions,$3.69,2 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Caught Boneless Grilled Sardines in Olive Oil,$1.99,3.88 Oz,77 g,390.0,386.0,1,34 g,8 g,0 g,40 mg,220 mg,5 g,0 g,0 g,0 g,15 g,12.9 mcg,120 mg,1.5 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
French Vinaigrette with Shallots,$1.99,11.83 Fl Oz,30 g,140.0,130.0,12,14 g,1.5 g,0 g,0 mg,330 mg,1 g,0 g,0 g,0 g,0 g,0.0 mcg,10 mg,0.1 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Coconut Chickpea Curry,$2.49,10 Oz,140 g,350.0,172.0,2,8 g,4.0 g,0 g,0 mg,430 mg,19 g,4 g,5 g,0 g,6 g,0.0 mcg,40 mg,1.2 mg,300 mg,,,,,,,,,,,,,,,,,,,,,
Chickpea Fusilli Pasta,$2.99,12 Oz,56 g,190.0,210.5,6,2.5 g,0 g,0 g,0 mg,0 mg,36 g,6 g,1 g,0 g,11 g,0.0 mcg,40 mg,2.1 mg,450 mg,,,,,,,,,,,,,,,,,,,,,
Salsa Verde Chicken Enchiladas,$4.99,16.5 Oz,234 g,640.0,315.0,2,11 g,5 g,0 g,75 mg,710 mg,30 g,5 g,2 g,1g  g,24 g,0.0 mcg,230 mg,1.3 mg,410 mg,,,,,,,,,,,,,,,,,,,,,
Meatless Meatballs,$4.99,16 Oz,86 g,140.0,151.0,5,7 g,0 g,0 g,0 mg,350 mg,9 g,4 g,1 g,0 g,13 g,0.0 mcg,100 mg,2.6 mg,490 mg,,,,,,,,,,,,,,,,,,,,,
Japanese Soufflé Cheesecakes,$3.29,4.22 Oz,60 g,300.0,151.0,2,7 g,4.5 g,0 g,55 mg,150 mg,16 g,2 g,10 g,9 g,6 g,0.0 mcg,70 mg,0.3 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Mobay® Cheese,$6.99,5 Oz,28 g/ about,100.0,104.0,5,8 g,6 g,0 g,30 mg,75 mg,2 g,0 g,0 g,0 g,6 g,0.0 mcg,200 mg,0.1 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Perfect Bar ® Peanut Butter Protein Bar,$2.49,2.5 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect Bar® Dark Chocolate Chip Peanut Butter Protein Bar,$2.49,2.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosciutto Wrapped Fresh Mozzarella Cheese,$4.99,5 Oz,142 g,50.0,51.5,1,3.5 g,2.0 g,0 g,15 mg,150 mg,1 g,0 g,0 g,0 g,4 g,0.0 mcg,80 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Classic Greek Salad,$3.49,9 Oz,100 g,340.0,130.0,2.5,10 g,1.5 g,0 g,5 mg,290 mg,7 g,2 g,2 g,1 g,3 g,0.0 mcg,50 mg,0.5 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
All Occasion Sprinkle,$1.99,3.5 Oz,4 g,15.0,16.0,25,0 g,0 g,0 g,0 mg,0 mg,4 g,0 g,3 g,3 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Caesar Salad with Salmon,$6.99,8.25 Oz,100 g,430.0,179.0,2.5,15 g,3.5 g,0 g,30 mg,440 mg,3 g,1 g,1 g,0 g,8 g,3.2 mcg,140 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
"Gluten Free 
Pizza Dough",$3.99,16 Oz,57 g,90.0,124.0,8,0 g,0 g,0 g,0 mg,70 mg,29 g,1 g,5 g,3 g,2 g,0.0 mcg,40 mg,0.4 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Jumeokbap,$4.99,10.58 Oz,100 g,190.0,194.5,3,2.5 g,0 g,0 g,0 mg,460 mg,38 g,2 g,5 g,5 g,5 g,0.1 mcg,10 mg,1.0 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Shrimp Scampi,$8.99,13 Oz,123 g,990.0,331.0,3,31 g,20 g,0 g,135 mg,680 mg,2 g,0 g,0 g,0 g,11 g,0.0 mcg,50 mg,0.4 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Calamari Pieces in Olive Oil,$3.99,3.91 Oz,80 g,110.0,108.5,1,4.5 g,1.0 g,0 g,195 mg,340 mg,0 g,0 g,0 g,0 g,17 g,0.0 mcg,10 mg,0.2 mg,100 mg,,,,,,,,,,,,,,,,,,,,,
Kimbap,$3.99,8.11 Oz,77 g,420.0,144.0,3,4.0 g,0.5 g,0 g,0 mg,320 mg,23 g,1 g,2 g,2 g,4 g,0.0 mcg,50 mg,0.5 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Organic Uncured Grass Fed Beef Hot Dogs,$5.99,10 Oz,47 g,110.0,118.0,6,10 g,4.5 g,0 g,20 mg,400 mg,1 g,0 g,0 g,0 g,6 g,0.3 mcg,10 mg,0.7 mg,220 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Coffee Buzz Bar,$1.99,3.5 Oz,25 g,130.0,129.0,4,9 g,5 g,0 g,0 mg,0 mg,10 g,3 g,8 g,7 g,2 g,0.0 mcg,60 mg,0.9 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Red Island Australian Extra Virgin Olive Oil,$7.99,16.9 Fl Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Roasted & Salted Almonds,$5.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shredded 3 Cheese Blend,$4.29,12 Oz,28 g /,100.0,99.0,12,7 g,4.5 g,0 g,35 mg,180 mg,2 g,0 g,0 g,0 g,7 g,0.0 mcg,180 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Belgian Truffle Ballotin Box,$3.99,3.45 Oz,25 g,140.0,137.0,4,9 g,4.5 g,0 g,5 mg,15 mg,12 g,1 g,11 g,10 g,2 g,0.2 mcg,30 mg,1.4 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Fresh Cut Pineapple Chunks,$3.99,16 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic English Cucumber,$2.49,1 Each,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grilled Chili LIme Chicken Breast,$7.99,12 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeze Dried Raspberries,$3.99,1.2 Oz,34 g,120.0,137.5,1,1.5 g,0 g,0 g,0 mg,0 mg,28 g,15 g,10 g,0 g,3 g,0.0 mcg,60 mg,1.6 mg,350 mg,,,,,,,,,,,,,,,,,,,,,
Milk Chocolate Covered Honeycomb Candy,$3.99,4.6 Oz,30 g,150.0,151.0,4.5,7 g,4.5 g,0 g,0 mg,140 mg,21 g,0 g,21 g,18 g,1 g,0.0 mcg,20 mg,0.8 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Soy Sauce Reduced Sodium,$3.79,17.6 Fl Oz,15 mL,10.0,8.0,34,0 g,,,,530 mg,1 g,,,,1 g,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Pressed California Organic Extra Virgin Olive Oil,$7.99,16.9 Fl Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Salad,$4.99,16 Oz,140 g,310.0,320.0,3,24 g,3.5 g,0 g,30 mg,620 mg,23 g,2 g,2 g,0 g,3 g,0.1 mcg,150 mg,0.6 mg,420 mg,,,,,,,,,,,,,,,,,,,,,
Dried Australian Red Papaya,$2.99,1.5 Oz,43 g,130.0,124.0,1,0 g,0 g,0 g,0 mg,0 mg,30 g,4 g,23 g,0 g,1 g,0.0 mcg,30 mg,0.4 mg,430 mg,,,,,,,,,,,,,,,,,,,,,
Sliced Roast Beef,$6.49,8 Oz,56 g,70.0,70.5,4,2.5 g,1.0 g,0 g,30 mg,320 mg,1g g,0 g,0 g,0 g,11 g,0.0 mcg,0 mg,1.1 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Sliced Applewood Smoked Uncured Ham,$4.99,8 Oz,56 g,70.0,71.0,4,3.0 g,1.0 g,0 g,30 mg,390 mg,1 g,0 g,1 g,1 g,10 g,0.0 mcg,10 mg,0.3 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Belgian Cookie Assortment,$4.99,7.76 Oz,33 g,160.0,154.0,7,6 g,3.5 g,0 g,15 mg,130 mg,23 g,1 g,11 g,10 g,2 g,0.8 mcg,10 mg,0.2 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
"""This Strawberry Walks into a Bar"" Cereal Bars",$2.49,7.8 Oz,37 g,140.0,142.5,6,2.5 g,0 g,0 g,0 mg,75 mg,28 g,1 g,16 g,15 g,2 g,0.0 mcg,10 mg,0.0 mg,60 mg,,,,,,,0.1 mg,0.1 mg,1.6 mg,0.2 mg,40 mcg DFE,25 mcg,0.2 mcg,,,,,,,,
Gourmet Jelly Beans Large Bag,$4.99,15 Oz,30 g,110.0,108.0,14,0 g,0 g,0 g,0 mg,5 mg,27 g,0 g,22 g,22 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Crunchy Peanut Butter Unsalted,$2.49,16 Oz,32 g,190.0,204.0,14,16 g,2.5 g,0 g,0 mg,0 mg,7 g,3 g,2 g,0 g,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,3.5 g,8 g,,,,,,,,,,,,,,,,,,,
Creamy Peanut Butter Unsalted,$2.49,16 Oz,32 g,190.0,204.0,14,16 g,2.5 g,0 g,0 mg,0 mg,7 g,3 g,2 g,0 g,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,3.5 g,9 g,,,,,,,,,,,,,,,,,,,
Organic Couscous,$1.79,12 Oz,45 g,170.0,164.0,8,0 g,0 g,0 g,0 mg,0 mg,35 g,2 g,0 g,0 g,6 g,0.0 mcg,10 mg,0.5 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Mini Chocolate Chip Croissant Swirls,$3.99,8.5 Oz,60 g,210.0,208.0,4,12 g,8 g,0 g,30 mg,170 mg,22 g,1 g,9 g,8 g,3 g,0.0 mcg,40 mg,2.2 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Dulce de Leche Ice Cream,$3.79,1 Pint,123 g,910.0,302.0,3,14 g,8 g,0 g,65 mg,210 mg,39 g,0 g,33 g,28 g,5 g,0.9 mcg,160 mg,0.2 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Brown Butter Salted Caramel Mini Biscotti,$4.99,9 Oz,26 g,120.0,116.0,10,4.0 g,2.5 g,0 g,20 mg,95 mg,18 g,0 g,10 g,9 g,2 g,0.1 mcg,20 mg,0.7 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Salted Caramel Swirl Danish,$3.99,10.23 Oz,97 g,1170.0,396.0,3,24 g,10 g,0 g,0 mg,410 mg,41 g,1 g,19 g,19 g,4 g,0.0 mcg,60 mg,0.0 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Apricot Mango Greek Whole Milk Yogurt,$0.99,5.3 Oz,150 g,200.0,199.0,1,11 g,7 g,0 g,35 mg,60 mg,20 g,0 g,16 g,9 g,5 g,0.0 mcg,170 mg,0.0 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Japanese Style Fried Rice,$3.79,16 Oz,180 g,870.0,331.0,2.5,7 g,1.0 g,0 g,0 mg,680 mg,58 g,3 g,5 g,3 g,9 g,0.0 mcg,70 mg,1.4 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Sous Vide Chicken Thighs,$8.99,16 Oz,84 g,110.0,117.0,5,5 g,1.0 g,0 g,60 mg,330 mg,0 g,0 g,0 g,0 g,18 g,0.0 mcg,0 mg,0.7 mg,300 mg,,,,,,,,,,,,,,,,,,,,,
High Protein Organic Tofu,$2.69,16 Oz,84 g/ about,130.0,131.0,5,7 g,1.0 g,0 g,0 mg,15 mg,3 g,0 g,0 g,0 g,14 g,0.0 mcg,60 mg,2.7 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Organic Tricolor Quinoa,$3.49,16 Oz,42 g,150.0,154.5,11,2.5 g,0 g,0 g,0 mg,0 mg,27 g,3 g,1 g,0 g,6 g,0.0 mcg,20 mg,1.9 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Gourmet Jelly Beans,$2.49,5 Oz,30 g,110.0,108.0,5,0 g,0 g,0 g,0 mg,5 mg,27 g,0 g,22 g,22 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Gourmet Jelly Beans Large Bag,$4.99,15 Oz,30 g,110.0,108.0,14,0 g,0 g,0 g,0 mg,5 mg,27 g,0 g,22 g,22 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Crunchy Peanut Butter Unsalted,$2.49,16 Oz,32 g,190.0,204.0,14,16 g,2.5 g,0 g,0 mg,0 mg,7 g,3 g,2 g,0 g,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,3.5 g,8 g,,,,,,,,,,,,,,,,,,,
Creamy Peanut Butter Unsalted,$2.49,16 Oz,32 g,190.0,204.0,14,16 g,2.5 g,0 g,0 mg,0 mg,7 g,3 g,2 g,0 g,8 g,0.0 mcg,20 mg,0.5 mg,200 mg,3.5 g,9 g,,,,,,,,,,,,,,,,,,,
Organic Couscous,$1.79,12 Oz,45 g,170.0,164.0,8,0 g,0 g,0 g,0 mg,0 mg,35 g,2 g,0 g,0 g,6 g,0.0 mcg,10 mg,0.5 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Mini Chocolate Chip Croissant Swirls,$3.99,8.5 Oz,60 g,210.0,208.0,4,12 g,8 g,0 g,30 mg,170 mg,22 g,1 g,9 g,8 g,3 g,0.0 mcg,40 mg,2.2 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Dulce de Leche Ice Cream,$3.79,1 Pint,123 g,910.0,302.0,3,14 g,8 g,0 g,65 mg,210 mg,39 g,0 g,33 g,28 g,5 g,0.9 mcg,160 mg,0.2 mg,170 mg,,,,,,,,,,,,,,,,,,,,,
Black Garlic Cream Cheese Spread,$2.79,8 Oz,30 g,100.0,97.0,8,9 g,6 g,0 g,30 mg,170 mg,2 g,0 g,1 g,0 g,2 g,0.2 mcg,30 mg,0.1 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Valentine Sprinkle,$1.99,3.5 Oz,4 g,15.0,16.0,25,0 g,0 g,0 g,0 mg,0 mg,4 g,0 g,3 g,3 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg,,,,,,,,,,,,,,,,,,,,,
Thai Peanut Satay Sauce,$2.29,8.1 Oz,34 g,80.0,84.5,7,4.5 g,2.5 g,0 g,0 mg,270 mg,9 g,1 g,5 g,4 g,2 g,0.0 mcg,10 mg,0.4 mg,80 mg,,,,,,,,,,,,,,,,,,,,,
Egg Salad,$4.99,10 Oz,100 g,220.0,211.0,3,19 g,3.0 g,0 g,220 mg,330 mg,3 g,1 g,2 g,0 g,7 g,,,,,,,,,,,,,,,,,,,,,,,,,
Snickerdoodle Cookies,$4.99,14 Oz,33 g,150.0,146.0,12,6 g,3.5 g,0 g,10 mg,220 mg,21 g,0 g,9 g,9 g,2 g,0.1 mcg,10 mg,0.1 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Chocolatey Dipping Kit,$0.01,8 Oz,28 g,150.0,152.0,8,8 g,6 g,0 g,0 mg,10 mg,19 g,1 g,17 g,15 g,1 g,0.0 mcg,20 mg,0.9 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Caramel Palmiers,$2.49,3.52 Oz,33 g,180.0,182.0,3,10 g,7 g,0 g,25 mg,150 mg,21 g,0 g,9 g,9 g,2 g,0.0 mcg,10 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Cinnamon Sugar Almonds,$3.99,8 Oz,30 g,150.0,152.0,8,8 g,5 g,0 g,0 mg,80 mg,18 g,0 g,17 g,15 g,2 g,0.0 mcg,40 mg,0.3 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Calamansi & Mango Sorbet,$3.79,1 Pint,140 g,480.0,160.0,3,0 g,0 g,0 g,0 mg,10 mg,40 g,1 g,35 g,32 g,0 g,0.1 mcg,10 mg,0.1 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Cheesecake Bites,$4.99,8.2 Oz,232 g,70.0,72.0,1,4.0 g,2.0 g,0 g,15 mg,55 mg,8 g,0 g,5 g,58 g,1 g,0.1 mcg,10 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Chiles Rellenos con Queso,$5.99,14.4 Oz,205 g,660.0,328.0,2,24 g,9 g,0 g,5 mg,870 mg,19 g,2 g,4 g,0 g,9 g,0.0 mcg,120 mg,1.0 mg,300 mg,,,,,,,,,,,,,,,,,,,,,
Irish Cheddar Cheese with Irish Whiskey,$12.49,1 Lb,28 g ,110.0,109.0,,9g,6g,0g,25mg,170mg,0g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Overnight Oats,$1.99,5.5 Oz,156 g,230.0,231.0,1,7 g,4.5 g,0 g,0 mg,120 mg,36 g,5 g,8 g,0 g,6 g,0.0 mcg,30 mg,1.9 mg,260 mg,,,,,,,,,,,,,,,,,,,,,
Spicy Tempura Seaweed Snack,$3.29,2.1 Oz,30 g,340.0,167.0,2,11 g,2.5 g,0 g,0 mg,270 mg,15 g,2 g,1 g,1g,2 g,0.0 mcg,20 mg,0.4 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Cowboy Caviar Salsa,$3.49,13 Oz,32 g,25.0,28.0,11,0 g,0 g,0 g,0 mg,125 mg,6 g,1 g,2 g,1 g,1 g,0.0 mcg,0 mg,0.2 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Roasted & Salted Rosemary Marcona Almonds,$5.99,6 Oz,30 g,170.0,183.0,6,15 g,1.0 g,0 g,0 mg,190 mg,6 g,4 g,1 g,0 g,6 g,0.0 mcg,80 mg,1.1 mg,210 mg,3.5 g,10 g,,,,,,,,,,,,,,,,,,,
Irish Porter Cheddar Cheese,$12.49,1 Lb,28 g,100.0,99.0,,7g,4.5g,0g,25mg,200mg,2g,0g,0g,0g,7g,,,,,,,,,,,,,,,,,,,,,,,,,
Papas Rellenas,$4.99,14 Oz,99 g,240.0,239.0,4,11 g,4.0 g,0 g,20 mg,250 mg,31 g,3 g,2 g,0 g,4 g,0.0 mcg,30 mg,0.6 mg,290 mg,,,,,,,,,,,,,,,,,,,,,
Glaze,$2.99,8.45 Fl Oz,15 mL,35.0,28.0,17,0 g,0 g,0 g,0 mg,15 mg,7 g,0 g,6 g,4 g,0 g,0.0 mcg,10 mg,1.6 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Cheery Lemon Animal Crackers,$0.99,1.65 Oz,47 g,220.0,225.0,1,9 g,7 g,0 g,0 mg,110 mg,34 g,0 g,19 g,17 g,2 g,0.0 mcg,30 mg,0.6 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
4 Almond Croissants,$5.49,12 Oz,85 g,340.0,336.0,4,20 g,11 g,0.5 g,45 mg,220 mg,33 g,2 g,10 g,10 g,6 g,0.3 mcg,30 mg,2.0 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
4 Chocolate Croissants,$5.49,12 Oz,85 g,320.0,330.0,4,18 g,11 g,0.5 g,40 mg,250 mg,36 g,2 g,11 g,11 g,6 g,0.3 mcg,20 mg,3.0 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Vegetable Bird's Nests,$3.99,10.5 Oz,114 g,600.0,228.0,2.5,12 g,1.5 g,0 g,0 mg,570 mg,27 g,2 g,8 g,6 g,3 g,0.0 mcg,30 mg,0.3 mg,130 mg,,,,,,,,,,,,,,,,,,,,,
Steamed Chicken Soup Dumplings,$3.49,6 Oz,170 g,250.0,243.0,1,7 g,1.5 g,0 g,45 mg,610 mg,29 g,1 g,3 g,,16 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Roasted Vegetable Pizza,$4.99,16.08 Oz,152 g,980.0,322.0,3,10 g,3.5 g,0 g,10 mg,660 mg,45 g,3 g,7 g,0 g,13 g,0.0 mcg,130 mg,1.0 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Chocolatey Drizzled Strawberry Kettle Popcorn,$3.49,5 Oz,30 g,150.0,152.0,5,8 g,3.0 g,0 g,0 mg,40 mg,19 g,2 g,12 g,11 g,1 g,0.0 mcg,0 mg,0.6 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Blackened Salmon Seasoned Boneless Fillet,$10.99,1 Lb,113 g,230.0,231.0,,15 g,3.5 g,0 g,60 mg,240 mg,1 g,0 g,0 g,0 g,23 g,12.1 mcg,20 mg,0.6 mg,390 mg,,,,,,,,,,,,,,,,,,,,,
Joe's Os Cereal Bars,$2.99,4.23 Oz,24 g,120.0,122.0,5,6 g,2.0 g,0 g,0 mg,70 mg,14 g,3 g,7 g,6 g,3 g,0.0 mcg,10 mg,1.1 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Brookie Caramel Candy Clusters,$3.99,6 Oz,25 g,110.0,110.0,7,6 g,3.5 g,0 g,10 mg,105 mg,13 g,1 g,10 g,9 g,1 g,0.0 mcg,20 mg,0.9 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Glazed Chocolate Donut Holes,$3.49,6 Oz,57 g,240.0,234.0,3,14 g,6 g,0 g,10 mg,200 mg,26 g,1 g,16 g,16 g,1 g,0.1 mcg,20 mg,1.4 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
Steamed Chicken Soup Dumplings,$3.49,6 Oz,170 g,250.0,243.0,1,7 g,1.5 g,0 g,45 mg,610 mg,29 g,1 g,3 g,,16 g,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Roasted Vegetable Pizza,$4.99,16.08 Oz,152 g,980.0,322.0,3,10 g,3.5 g,0 g,10 mg,660 mg,45 g,3 g,7 g,0 g,13 g,0.0 mcg,130 mg,1.0 mg,280 mg,,,,,,,,,,,,,,,,,,,,,
Chocolatey Drizzled Strawberry Kettle Popcorn,$3.49,5 Oz,30 g,150.0,152.0,5,8 g,3.0 g,0 g,0 mg,40 mg,19 g,2 g,12 g,11 g,1 g,0.0 mcg,0 mg,0.6 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
Wild Caught Cod Fillets,$10.99,1 Lb,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackened Salmon Seasoned Boneless Fillet,$10.99,1 Lb,113 g,230.0,231.0,,15 g,3.5 g,0 g,60 mg,240 mg,1 g,0 g,0 g,0 g,23 g,12.1 mcg,20 mg,0.6 mg,390 mg,,,,,,,,,,,,,,,,,,,,,
Joe's Os Cereal Bars,$2.99,4.23 Oz,24 g,120.0,122.0,5,6 g,2.0 g,0 g,0 mg,70 mg,14 g,3 g,7 g,6 g,3 g,0.0 mcg,10 mg,1.1 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
Brookie Caramel Candy Clusters,$3.99,6 Oz,25 g,110.0,110.0,7,6 g,3.5 g,0 g,10 mg,105 mg,13 g,1 g,10 g,9 g,1 g,0.0 mcg,20 mg,0.9 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Glazed Chocolate Donut Holes,$3.49,6 Oz,57 g,240.0,234.0,3,14 g,6 g,0 g,10 mg,200 mg,26 g,1 g,16 g,16 g,1 g,0.1 mcg,20 mg,1.4 mg,160 mg,,,,,,,,,,,,,,,,,,,,,
World's Puffiest Sour Cream & Onion Corn Puffs,$2.49,7 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piquant Popcorn,$2.99,5 Oz,28 g,140.0,139.0,5,7 g,0.5 g,0 g,0 mg,130 mg,15 g,3 g,0 g,0 g,4 g,0.0 mcg,0 mg,0.7 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
Spaghetti Carbonara,$4.29,16 Oz,140 g,280.0,274.0,3,14 g,9 g,0 g,45 mg,670 mg,26 g,2 g,4 g,0 g,11 g,0.0 mcg,170 mg,0.6 mg,150 mg,,,,,,,,,,,,,,,,,,,,,
