,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
867,Traditional Whole Milk Ricotta Cheese,$3.99,16 Oz,55 g,82.0,6 g,20 mg,125 mg,2 g,0 g,2 g,5 g,0.0 mcg,170 mg,0.0 mg,80 mg
868,Uncured Turkey Bacon,$3.99,8 Oz,28 g,33.0,1g,25mg,180mg,0g,0g,0g,6g,,,,
869,Pappardelle Pasta,$2.49,8 Oz,56 g/,213.0,1.0 g,15 mg,5 mg,43 g,2 g,0 g,8 g,0.1 mcg,0 mg,1.5 mg,120 mg
870,Organic Riced Cauliflower,$1.99,12 Oz,,0.0,,,,,,,,,,,
871,Unsweetened Organic Açaí  Puree Packets,$3.99,14 Oz,99 g,332.0,28 g,0 mg,140 mg,16 g,12 g,0 g,4 g,0.0 mcg,160 mg,7.2 mg,480 mg
872,Garlic Spread Dip,$3.69,8 Oz,28 g,159.0,15 g,0 mg,110 mg,4 g,0 g,0 g,2 g,,15.5792 mg,0.1484 mg,
873,Sweet Cannoli Dip,$3.99,8 Oz,30 g,102.0,6 g,15 mg,55 mg,10 g,0 g,9 g,2 g,0.1 mcg,60 mg,0.0 mg,30 mg
874,Squiggly Knife Cut Style Noodles,$4.99,13.4 Oz,95 g,310.5,2.5 g,0 mg,920 mg,60 g,2 g,6 g,12 g,0.0 mcg,20 mg,1.1 mg,180 mg
875,Butter Chicken with Basmati Rice,$4.49,12.5 Oz,354 g,409.0,13 g,80 mg,640 mg,49 g,2 g,3 g,24 g,0.0 mcg,50 mg,1.8 mg,530 mg
876,Chili & Lime Flavored Rolled Corn Tortilla Chips,$2.99,9 Oz,28 g,148.0,8 g,0 mg,260 mg,17 g,2 g,0 g,2 g,0.0 mcg,20 mg,0.6 mg,80 mg
877,Pizza Sprinkle Seasoning Blend,$2.99,2.2 Oz,0.7 g,0.0,0 g,,25 mg,0 g,,,0 g,,,,
878,Italian-Style Wedding Soup,$4.99,22 Oz,247 g,386.0,18 g,45 mg,1210 mg,39 g,3 g,4 g,17 g,0.0 mcg,130 mg,2.4 mg,500 mg
879,Ubriaco al Cabernet,$11.99,1 Lb,28 g,118.0,10g,30mg,220mg,0g,0g,0g,7g,,,,
880,Organic Biscuits,$3.99,16 Oz,57 g,174.0,6 g,0 mg,570 mg,27 g,1 g,5 g,3 g,0.0 mcg,10 mg,0.3 mg,40 mg
881,Organic Brown Rice Cake Thins,$1.99,4.8 Oz,29 g,113.0,1 g,0 mg,30 mg,23 g,1 g,0 g,3 g,,,,
882,White Miso Paste,$2.99,5.3 Oz,6 g,16.0,0 g,,170 mg,2 g,,,2 g,,,,
883,Fire Roasted Red Peppers,$2.99,16.4 Oz,28 g about,8.0,0 g,,90 mg,2 g,,,0 g,,,,
884,Stir Fried Garlicky Cabbage,$3.49,8.82 Oz,126 g,262.0,18 g,0 mg,1240 mg,19 g,7 g,10 g,6 g,0.0 mcg,100 mg,0.9 mg,690 mg
885,Seasoned Corn Ribs,$3.99,15 Oz,98 g,484.0,36 g,0 mg,920 mg,35 g,5 g,10 g,5 g,0.0 mcg,10 mg,0.6 mg,300 mg
886,4 Cheese Ravioli,$2.99,10 Oz,94 g,250.0,10 g,55 mg,620 mg,31 g,1 g,5 g,9 g,0.0 mcg,90 mg,0.6 mg,280 mg
887,Sweet Picanté Peppers,$4.99,10.23 Oz,30 g,51.0,3.0 g,5 mg,150 mg,5 g,2 g,3 g,1 g,0.0 mcg,20 mg,0.0 mg,30 mg
888,Thai Wheat Noodles,$2.99,21 Oz,198 g,310.0,2.0 g,0 mg,130 mg,63 g,4 g,0 g,10 g,0.0 mcg,30 mg,0.5 mg,40 mg
889,Organic Apricot Preserves,$4.29,17.5 Oz,20 g,52.0,0 g,0 mg,0 mg,13 g,0 g,12 g,0 g,0.0 mcg,0 mg,0.2 mg,30 mg
890,Organic Roasted Red Pepper and Almond Pesto Sauce,$3.99,9.87 Oz,60 g,70.0,6 g,10 mg,360 mg,2 g,2 g,0 g,2 g,0.0 mcg,60 mg,2.0 mg,70 mg
891,Organic Crescent Rolls,$3.49,8 Oz,28 g,92.5,4.5 g,0 mg,270 mg,12 g,0 g,2 g,1 g,0.0 mcg,0 mg,0.1 mg,20 mg
892,Super Seedy Cheese Snack Bites,$3.49,2.8 Oz,30 g,450.0,30 g,60 mg,960 mg,12 g,2 g,0 g,33 g,0.0 mcg,920 mg,2.5 mg,270 mg
893,Brussels Sprouts & Uncured Bacon Ravioli,$1.99,8 Oz,105 g,543.0,19 g,95 mg,1460 mg,65 g,7 g,2 g,28 g,0.3 mcg,240 mg,3.7 mg,500 mg
894,Sweet Italian Chicken Sausage,$6.49,1 Lb,90 g,103.5,3.5 g,80 mg,490 mg,1 g,0 g,1 g,17 g,0.0 mcg,60 mg,0.8 mg,490 mg
895,Habanero Hot Sauce,$2.99,4.4 Fl Oz,5 mL,0.0,0 g,,30 mg,0 g,,,0 g,,,,
896,A Trio of Almonds,$5.99,12 Oz,33 g,203.0,15 g,0 mg,40 mg,9 g,3 g,6 g,8 g,0.0 mcg,50 mg,0.8 mg,170 mg
897,Minty Flavored Cocoa Truffles,$3.49,8.8 Oz,32 g,191.0,15 g,0 mg,15 mg,13 g,1 g,12 g,1 g,0.0 mcg,30 mg,2.0 mg,150 mg
898,Favorite Sweets An Inspired Truffle Collection,$5.99,5.4 Oz,25 g,122.0,6 g,10 mg,15 mg,16 g,2 g,12 g,1 g,0.0 mcg,10 mg,1.4 mg,70 mg
899,Truffle Oil Duo,$9.99,4.06 Fl Oz,14 g,117.0,13g,,0mg,0g,,,0g,,,,
900,Scar Pier Panettone al cioccolato,$12.99,26.45 Oz,,0.0,,,,,,,,,,,
901,Dark Chocolate Covered Gingerbread Cookie Folk,$3.49,7.05 Oz,33 g,131.0,3.0 g,0 mg,50 mg,24 g,1 g,11 g,2 g,0.3 mcg,10 mg,2.0 mg,60 mg
902,Jingle Jangle Pretzel Twists,$3.99,6.75 Oz,32 g,163.0,7 g,0 mg,75 mg,22 g,1 g,13 g,3 g,0.0 mcg,20 mg,0.9 mg,90 mg
903,Platinum Aged Balsamic Vinegar of Modena,$8.99,8.5 Fl Oz,1 Tbsp.,44.0,0g,,0mg,11g,,11g,0g,,,,
904,Astounding Multi-Flavor Joe-Joe's,$8.49,21 Oz,25 g,131.0,7 g,0 mg,55 mg,16 g,2 g,11 g,1 g,0.1 mcg,10 mg,0.8 mg,80 mg
905,Handmade Candy Cane with Cocoa Center,$1.49,1.75 Oz,50 g,198.5,2.5 g,0 mg,15 mg,44 g,0 g,35 g,0 g,0.0 mcg,0 mg,0.2 mg,20 mg
906,Mini Chocolate Mousse Desserts,$4.79,6.36 Oz,180 g,661.0,45 g,85 mg,160 mg,56 g,4 g,38 g,8 g,0.0 mcg,90 mg,7.7 mg,40 mg
907,Mini Hold The Cone Peppermint Flavored,$3.99,7.9 Oz,84 g,668.0,32 g,75 mg,270 mg,85 g,4 g,52 g,10 g,0.0 mcg,600 mg,5.8 mg,470 mg
908,Toscano Cheese Soaked in Chardonnay Wine,$10.99,1 Lb,28 g,122.0,10g,25mg,170mg,1g,0g,0g,7g,,,,
909,English Toffee with Nuts,$10.99,30 Oz,36 g,206.0,14 g,15 mg,45 mg,18 g,1 g,16 g,2 g,0.1 mcg,30 mg,0.5 mg,80 mg
910,Mini Gingerbread People,$4.49,16 Oz,32 g,149.0,5.0 g,0 mg,110 mg,24 g,1 g,13 g,2 g,0.0 mcg,20 mg,0.8 mg,50 mg
911,Mini Chocolate Mousse Presents,$3.99,5 Oz,72 g/,680.0,44 g,35 mg,260 mg,66 g,4 g,53 g,5 g,0.0 mcg,50 mg,5.5 mg,260 mg
912,Gingerbread Sandwich Cookies,$5.99,20 Oz,,0.0,,,,,,,,,,,
913,Organic Jumbo Cinnamon Rolls,$4.99,17.5 Oz,99 g,327.0,11 g,0 mg,750 mg,53 g,2 g,24 g,4 g,0.0 mcg,20 mg,0.4 mg,50 mg
914,Double Crème Brie with Truffles,$9.99,8.5 Oz,28 g,97.0,9g,30mg,170mg,0g,0g,0g,4g,,,,
915,Truffle Dip,$5.49,7.5 Oz,28 g,66.0,6 g,15 mg,110 mg,1 g,0 g,2 g,2 g,0.1 mcg,40 mg,0.0 mg,30 mg
916,Chocolate Peppermint Loaf & Baking MIx,$3.99,19 Oz,34 g,205.0,9 g,10 mg,220 mg,29 g,1 g,17 g,2 g,0.1 mcg,40 mg,1.8 mg,70 mg
917,Extra Fine French Green Beans,$2.49,24 Oz,,0.0,,,,,,,,,,,
918,Ginger Spread,$3.99,12 Oz,20 g,56.0,0 g,0 mg,0 mg,14 g,0 g,13 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
919,French Apple Tart,$7.99,20 Oz,142 g,332.0,12 g,15 mg,65 mg,53 g,2 g,29 g,3 g,0.0 mcg,10 mg,1.1 mg,110 mg
920,Pumpkin Pie,$6.99,27 Oz,128 g,416.0,16 g,25 mg,390 mg,62 g,1 g,33 g,6 g,0.4 mcg,100 mg,1.5 mg,90 mg
921,Pastry Bites Feta Cheese & Caramelized Onions,$5.49,8.5 Oz,80 g,735.0,55 g,200 mg,910 mg,45 g,2 g,8 g,15 g,1.0 mcg,235 mg,3.0 mg,580 mg
922,Organic Creamy Mushroom Soup,$3.99,15 Oz,425 g,172.0,8 g,0 mg,1200 mg,22 g,3 g,5 g,3 g,0.0 mcg,70 mg,1.0 mg,260 mg
923,Gluten Free Triple Ginger Muffins,$4.99,14 Oz,99 g,380.0,20 g,60 mg,380 mg,47 g,1 g,24 g,3 g,0.5 mcg,50 mg,0.8 mg,270 mg
924,Organic Sweet Potatoes,$6.49,5 Lb,,0.0,,,,,,,,,,,
925,Haricots Verts,$5.99,2 Lb,,0.0,,,,,,,,,,,
926,Syrah Soaked Toscano Cheese Spread & Dip,$4.99,7.5 Oz,28 g,91.0,7 g,25 mg,140 mg,3 g,0 g,2 g,4 g,0.2 mcg,100 mg,0.2 mg,100 mg
927,Belgian Cookie Trio,$5.99,10.9 Oz,33 g,160.0,8 g,15 mg,80 mg,20 g,2 g,12 g,2 g,0.0 mcg,20 mg,1.3 mg,80 mg
928,Pão D' Água Portuguese Rolls,$2.29,9.3 Oz,66 g,156.5,0.5 g,0 mg,230 mg,33 g,2 g,2 g,5 g,0.0 mcg,60 mg,0.8 mg,70 mg
929,Apple Crumble Pie,$7.99,27.161 Oz,128 g,333.0,13 g,35 mg,240 mg,50 g,3 g,27 g,4 g,0.2 mcg,80 mg,1.4 mg,150 mg
930,Apple & Pumpkin Hand Pies,$4.49,8.47 Oz,240 g,733.0,37 g,140 mg,950 mg,90 g,4 g,34 g,10 g,0.7 mcg,140 mg,3.7 mg,230 mg
931,Glazed Maple Donuts,$4.49,15 Oz,71 g,325.0,17 g,5 mg,270 mg,40 g,4 g,18 g,3 g,0.0 mcg,140 mg,1.4 mg,80 mg
932,Portuguese Flor de Sal,$4.99,5.11 Oz,1.5 g,0.0,0 g,0 mg,580 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
933,"Red Pepper, Cranberry & Walnut Dip",$3.99,8 Oz,32 g,77.0,5.0 g,0 mg,140 mg,6 g,1 g,4 g,2 g,0.1 mcg,10 mg,0.3 mg,60 mg
934,Mashed Potatoes,$4.29,28 Oz,126 g,153.0,9 g,20 mg,250 mg,15 g,2 g,2 g,3 g,0.0 mcg,20 mg,0.3 mg,290 mg
935,Korean Beefless Bulgogi,$4.99,10 Oz,94 g,223.0,11 g,0 mg,580 mg,15 g,5 g,6 g,16 g,0.0 mcg,60 mg,5.3 mg,190 mg
936,Bulgur Pilaf with Butternut Squash & Feta Cheese,$1.99,14.1 Oz,111 g,194.0,10g,10mg,380mg,20g,2g,3g,6g,0mcg,40mg,1mg,250mg
937,Organic Dark Chocolate Half-Coated Rice Cake Thins,$2.49,3.42 Oz,24 g,118.0,6 g,0 mg,0 mg,14 g,2 g,5 g,2 g,,,,
938,Vegan Salmonesque Spread,$4.29,8 Oz,28 g,101.0,9 g,0 mg,210 mg,3 g,0 g,0 g,2 g,0.0 mcg,10 mg,0.6 mg,20 mg
939,Spanish Style Rice,$3.69,20 Oz,142 g,222.0,6 g,0 mg,700 mg,38 g,2 g,0 g,4 g,0.0 mcg,40 mg,1.8 mg,60 mg
940,"Solid White Albacore Tuna, No Salt Added",$1.99,5 Oz,4 oz/,125.0,1.0 g,40 mg,70 mg,0 g,0 g,0 g,29 g,1.0 mcg,0 mg,0.9 mg,270 mg
941,"Solid White Albacore Tuna, Salt Added",$1.99,5 Oz,4 oz/,125.0,1.0 g,0 mg,360 mg,0 g,0 g,0 g,29 g,1.0 mcg,0 mg,0.9 mg,270 mg
942,Chicken Gyoza Potstickers,$3.99,16 Oz,80 g,126.0,2.0 g,20 mg,250 mg,20 g,1 g,1 g,7 g,0.0 mcg,20 mg,1.4 mg,120 mg
943,Gnocchi,$1.99,16 Oz,110 g,168.5,0.5g,0mg,40mg,37g,2g,2g,4g,,,,
944,Sage Derby,$11.99,1 Lb,28 g,113.0,9g,20mg,160mg,1g,0g,0g,7g,,,,
945,Herbes de Provence,$4.99,2.2 Oz,,0.0,,,,,,,,,,,
946,Creamy Toscano Cheese Dusted with Cinnamon,$10.99,1 Lb,28 g,28.0,0g,30mg,170mg,0g,0g,0g,7g,,,,
947,Sea Salt Crystals,$1.99,3.88 Oz,1.2 g,0.0,0 g,,470 mg,0 g,,,0 g,,,,
948,Organic Bread Crumbs,$2.99,10 Oz,30 g,105.0,1.0 g,0 mg,140 mg,21 g,2 g,2 g,3 g,0.0 mcg,0 mg,0.3 mg,0 mg
949,Autumn Vegetable & White Bean Gratin,$5.99,17 Oz,230 g,618.0,30 g,60 mg,1190 mg,59 g,10 g,16 g,28 g,0.2 mcg,640 mg,4.0 mg,1120 mg
950,Organic Brussels Sprouts,$3.69,14 Oz,,0.0,,,,,,,,,,,
951,Caramel Apple Mochi,$4.99,6.8 Oz,192 g,485.0,13 g,40 mg,100 mg,87 g,2 g,61 g,5 g,0.8 mcg,110 mg,0.6 mg,240 mg
952,Shishito Peppers,$3.99,6 Oz,,0.0,,,,,,,,,,,
953,Organic Super Sweet Cut Corn,$2.29,16 Oz,,0.0,,,,,,,,,,,
954,Shiitake Mushrooms,$3.49,3.5 Oz,,0.0,,,,,,,,,,,
955,Shiitake Mushrooms,$2.79,4 Oz,,0.0,,,,,,,,,,,
956,Multi-Floral & Clover Honey,$3.99,12 Oz,21 g,68.0,0 g,,0 mg,17 g,,17 g,0g,,,,
957,Organic Toasted Sesame Oil,$3.49,5 Fl Oz,15 mL,126.0,14 g,,0 mg,0 g,,,0 g,,,,
958,Organic Firm Tofu,$1.49,14 Oz,84 g,71.5,3.5 g,0 mg,10 mg,2 g,2 g,0 g,8 g,,,,
959,Organic Carrots of Many Colors,$1.99,2 Lb,,0.0,,,,,,,,,,,
960,All Natural Chicken Drumsticks,$1.99,1 Lb,,0.0,,,,,,,,,,,
961,Cornbread Stuffing,$5.99,17 Oz,100 g,168.0,8 g,5 mg,490 mg,21 g,1 g,5 g,3 g,0 mcg,10 mg,1.1 mg,90 mg
962,Fresh Cranberry Orange Relish,$3.99,16 Oz,70 g,108.0,0 g,0 mg,0 mg,27 g,2 g,25 g,0 g,,,,
963,Green Onions,$0.99,6 Oz,,0.0,,,,,,,,,,,
964,Imported Olive Oil Packed in Italy,$10.99,33.8 Fl Oz,15 mL,126.0,14 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.1 mg,0 mg
965,Pasture Raised Large Brown Eggs,$4.99,1 Doz,50 g,69.0,5g,185mg,70mg,0g,0g,0g,6g,,,,
966,Rutland Red Leicester Cheese,$12.49,1 Lb,28 g,139.0,11g,30mg,210mg,2g,0g,0g,8g,,,,
967,Unexpected Cheddar Cheese Spread,$4.99,9 Oz,28 g,91.0,7 g,25 mg,240 mg,3 g,2 g,1 g,4 g,,0 mg,,
968,White Bean Chicken Chili Soup,$4.99,20 Oz,245 g,408.0,12 g,35 mg,1020 mg,53 g,15 g,8 g,22 g,0.2 mcg,160 mg,3.9 mg,710 mg
969,Semi-Sweet Chocolate Chunks,$3.49,10 Oz,15 g,72.0,4..5 g,0 mg,5 mg,8 g,2 g,6 g,1 g,0.1 mcg,10 mg,0.8 mg,100 mg
970,Gluten Free Breaded Shrimp,$9.99,12 Oz,113 g,224.0,16 g,90 mg,480 mg,13 g,2 g,1 g,7 g,0 mcg,30 mg,0.4 mg,240 mg
971,Pumpkin Spiced Joe-Joe's Sandwich Cookies,$4.49,9.4 Oz,24 g,126.0,6 g,0 mg,125 mg,16 g,0 g,12 g,2 g,0 mcg,20 mg,0.3 mg,40 mg
972,Salted Maple Ice Cream,$3.79,1 Pint,128 g,870.0,50 g,315 mg,750 mg,93 g,0 g,86 g,12 g,2.4 mcg,350 mg,0.9 mg,340 mg
973,Gluten Free Pumpkin Bread,$5.99,16 Oz,57 g/,194.0,6 g,40 mg,140 mg,32 g,1 g,18 g,3 g,0.0 mcg,20 mg,0.9 mg,200 mg
974,Gluten Free Pumpkin Streusel Muffins,$5.99,14 Oz,99 g,388.0,16 g,50 mg,290 mg,58 g,2 g,24 g,3 g,0.5 mcg,50 mg,0.8 mg,190 mg
975,Caramel Apple Dipping Kit,$6.99,16 Oz,76 g,322.0,14 g,5 mg,95 mg,44 g,1 g,25 g,5 g,0.2 mcg,50 mg,0.4 mg,160 mg
976,Halloween Joe-Joe's Cookies,$3.99,16 Oz,28 g,138.0,6 g,0 mg,70 mg,20 g,2 g,12 g,1 g,0.0 mcg,10 mg,1.1 mg,0 mg
977,Roasted Turkey & Sweet Potato Burrito,$4.49,8 Oz,227 g,460.0,12 g,20 mg,710 mg,70 g,5 g,10 g,18 g,0.2 mcg,90 mg,5.0 mg,380 mg
978,Organic Mini Sweet Peppers,$3.99,1 Lb,,0.0,,,,,,,,,,,
979,Cinnamon Roll Blondie Bar Baking Mix,$3.99,21 Oz,30 g,166.0,6 g,30 mg,95 mg,26 g,0 g,19 g,2 g,0.1 mcg,20 mg,0.6 mg,30 mg
980,Pumpkin Cheesecake Croissants,$4.49,7.4 Oz,105 g,296.0,16 g,50 mg,340 mg,31 g,2 g,11 g,7 g,0.1 mcg,90 mg,0.7 mg,80 mg
981,Stripey Joe,$11.99,1 Lb,28 g,113.0,9g,20mg,160mg,2g,0g,0g,6g,,,,
982,Triple Cream Brie Cheese with Green Peppercorns,$11.99,1 Lb,28 g,124.0,12g,30mg,170mg,0g,0g,0g,4g,,,,
983,Apple Cider Donuts,$4.49,15.9 Oz,75 g,324.0,16 g,10 mg,310 mg,41 g,1 g,21 g,4 g,0.0 mcg,20 mg,1.3 mg,80 mg
984,Pumpkin Overnight Oats,$1.99,5.5 Oz,156 g,197.0,5.0 g,0 mg,150 mg,33 g,6 g,12 g,5 g,0.0 mcg,60 mg,2.0 mg,330 mg
985,Honey O's Cereal,$2.69,13.5 Oz,41 g,166.0,2.0 g,0 mg,210 mg,34 g,2 g,14 g,3 g,0.0 mcg,10 mg,5.4 mg,90 mg
986,Joe's O's Cereal,$1.99,12 Oz,41 g,166.5,2.5 g,0 mg,170 mg,31 g,4 g,2 g,5 g,0.0 mcg,20 mg,8.1 mg,130 mg
987,Just The Clusters Maple Pecan Granola Cereal,$3.79,16 Oz,64 g,299.0,11 g,0 mg,80 mg,45 g,4 g,16 g,5 g,0.0 mcg,30 mg,1.5 mg,150 mg
988,Organic Italian Cascatelli Pasta,$2.99,16 Oz,56 g,200.0,0 g,0 mg,0 mg,43 g,2 g,1 g,7 g,0.0 mcg,10 mg,0.6 mg,100 mg
989,Gochujang Paste,$1.99,7.05 Oz,7 g,16.0,0 g,0 mg,170 mg,4 g,0 g,,0 g,,,,
990,Pretzel Slims,$2.49,8 Oz,28 g,108.5,0.5 g,0 mg,280 mg,23 g,1 g,1 g,3 g,0 mcg,10 mg,1.3 mg,60 mg
991,Simply Eggless Plant Based Egg,$4.99,16 Oz,,0.0,,,,,,,,,,,
992,Organic Pineapple Chunks,$2.99,15 Oz,142 g,96.0,0g,0mg,0mg,22g,1g,21g,2g,,,,
993,Mascarpone,$3.99,8 Oz,1 /,71.0,7 g,20 mg,5 mg,0 g,0 g,0 g,2 g,,,,
994,Lemon Curd,$3.99,10.5 Oz,30 g,106.5,2.5 g,30 mg,20 mg,19 g,0 g,19 g,2 g,,,,
995,Sliced Prosciutto,$3.99,4 Oz,28 g,83.0,7g,30mg,720mg,0g,0g,0g,5 g,,,,
996,Sriracha Flavored Baked Tofu,$3.99,7 Oz,99 g,147.0,7 g,0 mg,440 mg,6 g,1 g,2 g,15 g,,,,
997,Shawarma Chicken Thighs,$6.99,1 Lb,112 g,159.0,7 g,100 mg,440 mg,3 g,0 g,0 g,21 g,0 mcg,20 mg,1.2 mg,290 mg
998,Creamy Cauliflower Mash,$3.99,12 Oz,115 g,145.0,13g,35mg,330mg,5g,2g,3g,2g,,,,
999,Banana Pudding Flavored Ice Cream,$3.79,1 Pint,128 g,925.0,49 g,215 mg,340 mg,108 g,1 g,88 g,13 g,1.9 mcg,350 mg,1.3 mg,500 mg
1000,Uncured Dry Rubbed Sliced Bacon,$5.99,12 Oz,12 g,43.0,3 g,10 mg,220 mg,0 g,0 g,0 g,4 g,,,,
1001,Baby Shanghai Bok Choy,$3.99,6.3 Oz,,0.0,,,,,,,,,,,
1002,General Tsao Stir Fry Sauce,$3.49,12.35 Oz,72 g,149.0,1 g,0 mg,780 mg,35 g,0 g,35 g,0 g,,,,
1003,Plain Whole Milk Greek Yogurt,$0.99,5.3 Oz,150 g,148.0,8 g,30 mg,60 mg,6 g,0 g,4 g,13 g,,,,
1004,Nonfat Plain Greek Yogurt,$0.99,5.3 Oz,150 g,84.0,0 g,10 mg,65 mg,6 g,0 g,4 g,15 g,,,,
1005,Green Goddess Gouda,$9.49,1 Lb,28 g,91.0,7g,25mg,260mg,1g,0g,0,6g,,,,
1006,Turkeyless Ground,$3.99,12 Oz,113 g,695.0,35 g,0 mg,1330 mg,33 g,9 g,2 g,62 g,0.2 mcg,40 mg,12.4 mg,1320 mg
1007,Instant Boba Kit,$4.99,9.2 Oz,65 g,112.0,0 g,0 mg,5 mg,28 g,0 g,18 g,0 g,0 mcg,20 mg,0.3 mg,30 mg
1008,Hot & Sweet Jalapeños,$3.29,12 Fl Oz,28 g/ about,36.0,0 g,0 mg,320 mg,9 g,0 g,9 g,0 g,,,,
1009,Vegetable Biryani with Vegetable Dumplings,$2.99,10 Oz,142 g,436.0,12 g,0 mg,1370 mg,72 g,12 g,5 g,10 g,0 mcg,60 mg,2.2 mg,480 mg
1010,Russet Potatoes,$0.79,1 Each,,0.0,,,,,,,,,,,
1011,Chiave d' Oro Raw Milk Hard Cheese,$3.49,5 Oz,1 oz(28g 1 inch cube,126.0,10 g,30 mg,240 mg,2 g,0 g,0 g,7 g,,,,
1012,Jalapeño and Honey Chevre,$2.99,5 Oz,28 g,82.0,6 g,20 mg,75 mg,3 g,0 g,3 g,4 g,,,,
1013,Organic Hickory Smoked Turkey Breast,$5.99,6 Oz,56 g,57.0,1 g,30 mg,400 mg,0 g,0 g,0 g,12 g,,,,
1014,Corn and Chile Tomato-less Salsa,$3.49,13.75 Oz,34 g,40.0,0 g,0 mg,110 mg,9 g,0 g,7 g,1 g,0 mcg,0 mg,0.2 mg,50 mg
1015,Dill-icious Chopped Salad Kit,$3.99,11.32 Oz,100 g,143.0,11 g,5 mg,240 mg,9 g,2 g,3 g,2 g,0 mcg,60 mg,0.7 mg,280 mg
1016,Garlic & Jalapeño Stuffed Olives,$3.99,17.64 Oz,11 g,13.5,1.5 g,,210 mg,0 g,,,0 g,,,,
1017,Strawberry Waffles,$2.49,8.7 Oz,93 g,823.0,31 g,95 mg,550 mg,120 g,7 g,46 g,16 g,0 mcg,310 mg,0.2 mg,390 mg
1018,Mini Chocolate Chip Cookies,$0.99,2 Oz,57 g,277.0,13 g,40 mg,240 mg,37 g,2 g,23 g,3 g,0.1 mcg,20 mg,2.3 mg,110 mg
1019,Cinnamon Coffee Cake,$5.99,16 Oz,57 g/,240.0,12 g,45 mg,270 mg,31 g,2 g,19 g,2 g,,,,
1020,Gluten Free White Sandwich Bread,$4.99,12 Oz,,0.0,,,,,,,,,,,
1021,Sugar Snap Peas,$3.99,12 Oz,,0.0,,,,,,,,,,,
1022,Hot Italian Sausage made with Pork,$6.49,1 Lb,90 g,185.0,13 g,55 mg,450 mg,2 g,0 g,1 g,15 g,0.7 mcg,20 mg,0.7 mg,530 mg
1023,Sweet Italian Sausage made with Pork,$6.49,1 Lb,90 g,181.0,13 g,55 mg,440 mg,1 g,0 g,1 g,15 g,0.7 mcg,20 mg,0.7 mg,510 mg
1024,Homestyle Salsa Especial Mild,$3.99,12 Oz,30 g,4.0,0 g,0 mg,160 mg,1 g,0 g,2 g,0 g,,,,
1025,Mango Jicama Slaw,$5.49,12 Oz,100 g,74.5,2.5 g,0 mg,50 mg,12 g,3 g,9 g,1 g,0 mcg,20 mg,0.4 mg,160 mg
1026,"Egg Bites Cheese, Spinach & Kale",$3.79,4.2 Oz,119 g,148.0,8 g,25 mg,520 mg,7 g,0 g,2 g,12 g,,,,
1027,Egg Bites Cheddar Cheese & Uncured Bacon,$3.79,4.2 Oz,119 g,232.0,16 g,235 mg,690 mg,6 g,0 g,1 g,16 g,,,,
1028,"Red Bell Pepper, Garlic & Parmesan Cream Cheese Spread",$2.79,8 Oz,30 g,97.0,9g,30mg,260mg,2g,0g,1g,2g,,,,
1029,Oven-Baked Cheese Bites,$2.99,2.11 Oz,28 g,345.0,25 g,70 mg,550 mg,2 g,0 g,0 g,28 g,0 mcg,950 mg,0.2 mg,130 mg
1030,Eggplant Garlic Spread,$2.99,12 Oz,30 g,34.0,2 g,0 mg,220 mg,4 g,1 g,2 g,0 g,,,,
1031,Soft-Baked Sunflower Butter Cookies,$3.49,6 Oz,28 g,128.5,4.5g,0mg,115mg,19g,2g,11g,3g,0mcg,10mg,0.7mg,130mg
1032,Gluten Free Joe-Joe's Chocolate Vanilla Creme Cookies,$4.49,12.5 Oz,26 g,134.0,6 g,0 mg,70 mg,18 g,2 g,10 g,2 g,0 mcg,0 mg,0.5 mg,40 mg
1033,Dry Roasted & Salted Pistachios,$6.99,1 Lb,30 g,177.0,13 g,0 mg,115 mg,9 g,3 g,2 g,6 g,0 mcg,30 mg,1.2 mg,300 mg
1034,Strawberry Yogurt O's,$3.99,12 Oz,3/4 cup,114.0,2 g,0 mg,95 mg,22 g,1 g,8 g,2 g,0 mcg,61 mg,5 mg,45 mg
1035,Chile Lime Seasoning Blend,$2.29,2.9 Oz,1 g,0.0,0 g,,180 mg,0 g,,0 g,0 g,,,,
1036,Thai Style Yellow Curry Sauce,$3.49,11 Oz,60 g,107.0,7g,0mg,720mg,11g,0g,6g,0g,,,,
1037,Organic Vegetarian Chili,$2.49,14.67 Oz,416 g,422.0,14 g,0 mg,1160 mg,48 g,16 g,5 g,26 g,0 mcg,200 mg,7.5 mg,980 mg
1038,Mint Chip Ice Cream,$4.49,1 Qt,140 g,375.0,23 g,80 mg,60 mg,37 g,0 g,34 g,5 g,0.9 mcg,140 mg,1 mg,200 mg
1039,Cheese & Green Chile Tamales,$3.79,10 Oz,142 g,589.0,33 g,40 mg,1220 mg,56 g,5 g,4 g,17 g,0.3 mcg,410 mg,2.5 mg,410 mg
1040,Sweet Potato Fries,$2.49,15 Oz,,0.0,,,,,,,,,,,
1041,Pizza Parlanno,$5.49,18.2 Oz,129 g/,328.0,16 g,30 mg,620 mg,33 g,2 g,5 g,13 g,,,,
