name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Sliced Bresaola Uncured Beef Prosciutto,$6.99,3 Oz,30 g,180.0,176.5,4.5 g,1.5 g,0 g,80 mg,1550 mg,3 g,0 g,2 g,1 g,31 g,0.0 mcg,70 mg,3.0 mg,480 mg,,,,,,,,,,,,,,,,,,,,,
Hot Honey Mustard Dressing,$3.99,12 Fl Oz,30 mL,140.0,149.0,13 g,1.0 g,0 g,0 mg,230 mg,6 g,0 g,5 g,5 g,2g,0.0 mcg,20 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Creamy Dreamy Hummus,$2.49,8 Oz,28 g,50.0,51.0,3.0 g,0.5 g,0 g,0 mg,125 mg,4 g,1 g,2g,0 g,2 g,0.0 mcg,10 mg,0.4 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
,$3.99,8.8 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Nova Style Smoked Sockeye Salmon,$13.99,8 Oz,56 g,0.0,60.5,0.5 g,0 g,0 g,25 mg,540 mg,2 g,0 g,0 g,0 g,12 g,18.4 mcg,0 mg,0.1 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Wild Nova Style Smoked Sockeye Salmon,$21.99,16 Oz,56 g,60.0,60.5,0.5 g,0 g,0 g,25 mg,540 mg,2 g,0 g,0 g,0 g,12 g,18.4 mcg,0 mg,0.1 mg,190 mg,,,,,,,,,,,,,,,,,,,,,
Organic Super Bread,$3.99,18 Oz,64 g,240.0,249.0,13 g,1.5 g,0 g,0 mg,200 mg,24 g,5 g,3 g,1 g,9 g,0.0 mcg,70 mg,2.2 mg,270 mg,,,,,,,,,,,,,,,,,,,,,
Shredded Pepper Jack Cheese Blend,$3.99,12 Oz,28 g,100.0,100.0,8 g,6 g,0 g,25 mg,190 mg,1 g,0 g,0 g,0 g,6 g,0.0 mcg,190 mg,0.0 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Sweet Mustard Dill Sauce,$1.99,6.34 Oz,30 g,110.0,121.0,9 g,0.5 g,0 g,0 mg,160 mg,8 g,0 g,7 g,7 g,2 g,0.0 mcg,20 mg,0.3 mg,40 mg,,,,,,,,,,,,,,,,,,,,,
"Butter with Parmesan, Garlic & Herb",$2.99,4 Oz,14 g,80.0,84.0,8 g,5.0 g,0 g,20 mg,180 mg,2 g,0 g,0 g,0 g,1 g,0.0 mcg,40 mg,0.1 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
